Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,6,1,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,227168,-1,N/A,,184795,,173410,173410,,2
H3,2010,2010,2010,6,1,0,M,466,Mali,MLI,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,102,-1,N/A,,1,,78,78,,2
H3,2010,2010,2010,6,1,0,M,466,Mali,MLI,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14914,-1,N/A,,438,,11384,11384,,2
H3,2010,2010,2010,6,1,0,M,466,Mali,MLI,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17536,-1,N/A,,156,,13386,13386,,2
H3,2010,2010,2010,6,1,0,M,466,Mali,MLI,686,Senegal,SEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,194616,-1,N/A,,184200,,148561,148561,,2
H3,2010,2010,2010,6,1,0,X,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1207111,-1,N/A,,713192,,861671,,861671,2
H3,2010,2010,2010,6,1,0,X,466,Mali,MLI,854,Burkina Faso,BFA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1207111,-1,N/A,,713192,,861671,,861671,2
H3,2011,2011,2011,6,1,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,168385,-1,N/A,,166294,,135912,135912,,2
H3,2011,2011,2011,6,1,0,M,466,Mali,MLI,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,822,-1,N/A,,41,,664,664,,2
H3,2011,2011,2011,6,1,0,M,466,Mali,MLI,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,172,-1,N/A,,3,,139,139,,2
